EG	ECK	Gene	Syn	Protein	GI	SP	b#	
EG11881	ECK3923	hslU	clpY, htpI	molecular chaperone and ATPase component of HslUV protease	; 1790366	P0A6H5	b3931
EG11882	ECK3929	yiiX	None	putative lipid binding hydrolase, DUF830 family protein	1790372	P32167	b3937
EG11883	ECK1422	tehA	None	potassium-tellurite ethidium and proflavin transporter	; 1787699	P25396	b1429
EG11884	ECK1423	tehB	None	tellurite, selenium methyltransferase, SAM-dependent; tellurite, selenium resistance protein	; 1787700	P25397	b1430
EG11885	ECK1034	opgG	mdoA, mdoG	OPG biosynthetic periplasmic beta-1,6 branching glycosyltransferase	; 1787286	P33136	b1048
EG11886	ECK1035	opgH	mdoA, mdoH	OPG biosynthetic ACP-dependent transmembrane UDP-glucose beta-1,2 glycosyltransferase; nutrient-dependent cell size regulator, FtsZ assembly antagonist	; 1787287	P62517	b1049
EG11887	ECK2580	trxC	yfiG	thioredoxin 2	; 1788936	P0AGG4	b2582
EG11888	ECK3596	trmL	yibK	tRNA Leu mC34,mU34 2'-O-methyltransferase, SAM-dependent	1790034	P0AGJ7	b3606
EG11889	ECK3491	dctR	yhiF	Putative LuxR family repressor for dicarboxylate transport	1789923	P37195	b3507
EG11890	ECK3490	slp	None	outer membrane lipoprotein	; 87082278	P37194	b3506
EG11891	ECK2002	yeeA	None	putative transporter, FUSC family inner membrane protein	1788318	P33011	b2008
EG11892	ECK2003	sbmC	dgi, gyrI, yeeB	DNA gyrase inhibitor	; 1788319	P33012	b2009
EG11893	ECK2004	dacD	phsE(S.t.), phsF(S.t.), yeeC	D-alanyl-D-alanine carboxypeptidase; penicillin-binding protein 6b	; 87082022	P33013	b2010
EG11894	ECK2006	yeeD	None	putative TusA family sulfurtransferase	1788322	P33014	b2012
EG11895	ECK2007	yeeE	None	UPF0394 family inner membrane protein	1788323	P33015	b2013
EG11896	ECK2008	plaP	yeeF	putrescine importer, low affinity	87082023	P0AA47	b2014
EG11897	ECK2571	rpoE	sigE	RNA polymerase sigma E factor	; 1788926	P0AGB6	b2573
EG11899	ECK1346	recT	None	Rac prophage; recombination and repair protein	; 1787611	P33228	b1349
EG11900	ECK1345	ralR	lar, ral, ydaB	Rac prophage; restriction alleviation protein	; 1787610	P33229	b1348
EG11901	ECK1344	ydaC	rcbA	DUF1187 family protein, Rac prophage; putative double-strand break reduction protein	1787609	P33230	b1347
EG11902	ECK3935	yijE	None	EamA-like transporter family protein	87082351	P0ABT8	b3943
EG11903	ECK3936	yijF	None	DUF1287 family protein	1790380	P32668	b3944
EG11904	ECK3937	gldA	None	glycerol dehydrogenase, NAD+ dependent; 1,2-propanediol:NAD+ oxidoreductase	; 87082352	P0A9S5	b3945
EG11905	ECK3938	fsaB	talC, yijG	fructose-6-phosphate aldolase 2	; 1790382	P32669	b3946
EG11906	ECK3939	frwA	ptsA, yijH	putative PTS enzyme: Hpr, enzyme I and II components	48994992	P32670	b3947
EG11908	ECK3940	frwC	yijJ	putative enzyme IIC component of PTS	1790386	P32672	b3949
EG11909	ECK3941	frwB	yijK	putative enzyme IIB component of PTS	1790387	P69816	b3950
EG11910	ECK3942	pflD	yijL	putative glycine radical domain-containing pyruvate formate-lyase	; 1790388	P32674	b3951
EG11911	ECK3943	pflC	yijM	putative [formate-C-acetyltransferase 2]-activating enzyme; pyruvate formate-lyase 1-activating enzyme	; 1790389	P32675	b3952
EG11912	ECK3944	frwD	yijN	putative enzyme IIB component of PTS	1790390	P32676	b3953
EG11913	ECK3945	yijO	None	AraC family putative transcriptional activator	1790391	P32677	b3954
EG11914	ECK3946	eptC	cptA(S.t.), yijP	LPS heptose I phosphoethanolamine transferase	1790392	P0CB39	b3955
EG11915	ECK3990	nfi	yjaF	endonuclease V; deoxyinosine 3' endonuclease	; 87082357	P68739	b3998
EG11916	ECK3991	yjaG	None	DUF416 domain protein	1790432	P32680	b3999
EG11917	ECK3993	yjaH	None	DUF1481 family putative lipoprotein	1790434	P32681	b4001
EG11918	ECK3994	zraP	yjaI, zra	Zn-dependent periplasmic chaperone	; 87082358	P0AAA9	b4002
EG11919	ECK4012	yjbB	None	putative Na+/Pi-cotransporter	1790451	P0AF43	b4020
EG11920	ECK4013	pepE	None	peptidase E, alpha-aspartyl dipeptidase	; 1790452	P0A7C6	b4021
EG11921	ECK4014	rluF	yjbC	23S rRNA pseudouridine(2604) synthase	1790453	P32684	b4022
EG11922	ECK4015	yjbD	None	DUF3811 family protein	1790454	P32685	b4023
EG11923	ECK4018	yjbE	None	extracellular polysaccharide production threonine-rich protein	1790458	P0AF45	b4026
EG11924	ECK4019	yjbF	None	extracellular polysaccharide production lipoprotein	87082360	P32687	b4027
EG11925	ECK4020	yjbG	None	extracellular polysaccharide export OMA protein	1790460	P32688	b4028
EG11926	ECK4021	yjbH	None	DUF940 family extracellular polysaccharide protein	1790461	P32689	b4029
EG11927	ECK4030	yjbI'	None	pseudogene, SopA-related, pentapeptide repeats-containing	1790471	P32690	b4038
EG11928	ECK4037	yjbJ	None	stress-induced protein, UPF0337 family	1790479	P68206	b4045
EG11929	ECK4038	zur	yjbK	transcriptional repressor, Zn(II)-binding	; 87082363	P0AC51	b4046
EG11930	ECK4039	yjbL	None	uncharacterized protein	1790481	P32693	b4047
EG11931	ECK4040	yjbM	None	uncharacterized protein	1790482	P32694	b4048
EG11932	ECK4041	dusA	yjbN	tRNA-dihydrouridine synthase A	1790483	P32695	b4049
EG11933	ECK4042	pspG	yjbO	phage shock protein G	87082364	P32696	b4050
EG11934	ECK4047	aphA	hobH, napA, yjbP	acid phosphatase/phosphotransferase, class B, non-specific	; 2367341	P0AE22	b4055
EG11935	ECK4048	yjbQ	None	thiamine phosphate synthase	1790491	P0AF48	b4056
EG11936	ECK4049	yjbR	None	DUF419 family protein	2367342	P0AF50	b4057
EG11937	ECK4052	yjcB	None	putative inner membrane protein	87082365	P32700	b4060
EG11938	ECK4053	yjcC	None	putative membrane-anchored cyclic-di-GMP phosphodiesterase	1790496	P32701	b4061
EG11939	ECK4057	ghxP	yjcD	guanine/hypoxanthine permease, high affinity; guanine/hypoxanthine:H+ symporter	1790499	P0AF52	b4064
EG11940	ECK4058	yjcE	None	putative cation/proton antiporter	1790501	P32703	b4065
EG11941	ECK4059	yjcF	None	pentapeptide repeats protein	1790502	P32704	b4066
EG11942	ECK4060	actP	yjcG	acetate transporter	1790503	P32705	b4067
EG11943	ECK4061	yjcH	None	DUF485 family inner membrane protein	1790504	P0AF54	b4068
EG11945	ECK4064	nrfB	yjcI	nitrite reductase, formate-dependent, penta-heme cytochrome c	; 87082366	P0ABL1	b4071
EG11946	ECK4065	nrfC	yjcJ	formate-dependent nitrite reductase, 4Fe4S subunit	; 2367345	P0AAK7	b4072
EG11947	ECK4066	nrfD	yjcK	formate-dependent nitrite reductase, membrane subunit	; 1790509	P32709	b4073
EG11948	ECK4067	nrfE	yjcL	heme lyase (NrfEFG) for insertion of heme into c552, subunit NrfE	; 1790511	P32710	b4074
EG11949	ECK4068	nrfF	yjcM	heme lyase (NrfEFG) for insertion of heme into c552, subunit NrfF	; 1790512	P32711	b4075
EG11950	ECK4069	nrfG	aidC, yjcN	heme lyase (NrfEFG) for insertion of heme into c552, subunit NrfG	; 1790513	P32712	b4076
EG11951	ECK4071	yjcO	None	Sel1 family TPR-like repeat protein	1790515	P0AF56	b4078
EG11952	ECK4073	mdtP	sdsP, yjcP	outer membrane factor of efflux pump	2367348	P32714	b4080
EG11953	ECK4074	mdtO	sdsQ, yjcQ	membrane translocase (MDR) of MdtNOP efflux pump, PET family	87082367	P32715	b4081
EG11954	ECK4075	mdtN	sdsR, yjcR	membrane fusion protein of efflux pump	1790519	P32716	b4082
EG11955	ECK4076	yjcS	None	putative alkylsulfatase; SDS catabolic enzyme	87082368	P32717	b4083
EG11956	ECK4077	alsK	yjcT	D-allose kinase	; 1790522	P32718	b4084
EG11957	ECK4078	alsE	yjcU	allulose-6-phosphate 3-epimerase	; 1790523	P32719	b4085
EG11958	ECK4079	alsC	yjcV	D-allose ABC transporter permease	; 1790524	P32720	b4086
EG11959	ECK4080	alsA	yjcW	D-allose ABC transporter ATPase	; 1790525	P32721	b4087
EG11960	ECK3373	rpe	dod, yhfD	D-ribulose-5-phosphate 3-epimerase	; 1789788	P0AG07	b3386
EG11961	ECK3593	lldP	lct, lctP	L-lactate permease	; 1790031	P33231	b3603
EG11962	ECK3594	lldR	lct, lctR	dual role activator/repressor for lldPRD operon	; 1790032	P0ACL7	b3604
EG11963	ECK3595	lldD	lct, lctD	L-lactate dehydrogenase, FMN-linked	; 1790033	P33232	b3605
EG11964	ECK3592	yibL	None	ribosome-associated DUF2810 family protein	1790030	P0ADK8	b3602
EG11965	ECK3590	mtlR	None	mannitol operon repressor	; 1790029	P0AF10	b3601
EG11966	ECK4109	adiY	None	adi system transcriptional activator	; 1790557	P33234	b4116
EG11967	ECK1067	flgK	flaS	flagellar hook-filament junction protein 1	; 1787323	P33235	b1082
EG11968	ECK3278	arfA	yhdL	alternate ribosome-rescue factor A	87082241	P36675	b4550
EG11969	ECK3279	zntR	yhdM	zntA gene transcriptional activator	1789687	P0ACS5	b3292
EG11970	ECK3280	yhdN	None	DUF1992 family protein	1789688	P36677	b3293
EG11971	ECK2388	nupC	cru	nucleoside (except guanosine) transporter	; 1788737	P0AFF2	b2393
EG11972	ECK0138	htrE	None	putative outer membrane usher protein	; 1786332	P33129	b0139
EG11973	ECK0139	yadV	ecpD	putative periplasmic pilin chaperone	; 1786333	P33128	b0140
EG11974	ECK4306	fimI	None	fimbrial protein involved in type 1 pilus biosynthesis	; 87082421	P39264	b4315
EG11975	ECK1946	fliP	flaR	flagellar biosynthesis protein	; 1788259	P0AC05	b1948
EG11976	ECK1947	fliQ	flaQ	flagellar biosynthesis protein	; 1788260	P0AC07	b1949
EG11977	ECK1948	fliR	flaP	flagellar export pore protein	; 1788261	P33135	b1950
EG11978	ECK2033	rfbA	rmlA, som	glucose-1-phosphate thymidylyltransferase	; 1788351	P37744	b2039
EG11979	ECK2032	rfbC	rfbD, rmlC	dTDP-4-deoxyrhamnose-3,5-epimerase	; 1788350	P37745	b2038
EG11980	ECK2031	wzxB	rfbX, wzx	putative polisoprenol-linked O-antigen transporter	; 1788349	P37746	b2037
EG11981	ECK2030	glf	yefE	UDP-galactopyranose mutase, FAD/NAD(P)-binding	; 1788348	P37747	b2036
EG11982	ECK2029	wbbH	rfc, yefF	O-antigen polymerase	; 1788347	P37748	b2035
EG11983	ECK2028	wbbI	yefG	d-Galf:alpha-d-Glc beta-1,6-galactofuranosyltransferase	1788346	P37749	b2034
EG11984	ECK2027	wbbJ	yefH	putative lipopolysaccharide biosynthesis O-acetyl transferase	1788345	P37750	b2033
EG11985	ECK2026	wbbK	yefI	lipopolysaccharide biosynthesis protein	1788344	P37751	b2032
EG11986	ECK2025	wbbL'	yefJ	pseudogene, lipopolysaccharide biosynthesis protein	1788343	P36667	b4571
EG11987	ECK2101	yehA	None	putative fimbrial-like adhesin protein	1788426	P33340	b2108
EG11988	ECK2102	yehB	None	putative outer membrane protein	1788427	P33341	b2109
EG11989	ECK2103	yehC	None	putative periplasmic pilin chaperone	1788428	P33342	b2110
EG11990	ECK2104	yehD	None	putative fimbrial-like adhesin protein	1788429	P33343	b2111
EG11991	ECK2105	yehE	None	DUF2574 family protein	1788430	P33344	b2112
EG11992	ECK2108	yehH'	dinO, molR, sosF, yehF, yehG	DUF4132 family pseudogene; defective yehI paralog	; 87082046	P33345	b4499
EG11995	ECK2109	yehI	None	DUF4132 domain-containing protein	1788436	P33346	b2118
EG11997	ECK2110	yehK	None	uncharacterized protein	87082048	P33347	b4541
EG11998	ECK2111	yehL	None	putative hexameric AAA+ MoxR family ATPase	87082049	P33348	b2119
EG11999	ECK2112	yehM	yehN, yehO	uncharacterized protein	1788439	P33349	b2120
EG12002	ECK2113	yehP	None	VMA domain putative YehL ATPase stimulator	1788440	P33352	b2121
EG12003	ECK2114	yehQ'	None	pseudogene	87082050	P33353	b2122
EG12004	ECK2115	yehR	None	lipoprotein, DUF1307 family	87082051	P33354	b2123
EG12005	ECK2116	yehS	None	DUF1456 family protein	1788443	P33355	b2124
EG12006	ECK2117	yehT	None	putative response regulator in two-component system withYehU	; 87082052	P0AFT5	b2125
EG12007	ECK2118	yehU	None	inner membrane putative sensory kinase in two-component system with YehT	; 1788446	P0AD14	b2126
EG12008	ECK2119	mlrA	yehV	transcriptional activator of csgD and csgBA	; 1788448	P33358	b2127
EG12009	ECK2121	yehW	None	putative ABC transporter permease	1788449	P33359	b2128
EG12010	ECK2122	yehX	None	putative ABC transporter ATPase	1788450	P33360	b2129
EG12011	ECK2123	yehY	None	putative ABC transporter permease	1788451	P33361	b2130
EG12012	ECK2124	osmF	yehZ	putative ABC transporter periplasmic binding protein	1788452	P33362	b2131
EG12013	ECK2125	bglX	glh, yohA	beta-D-glucoside glucohydrolase, periplasmic	; 1788453	P33363	b2132
EG12015	ECK2127	pbpG	psv, yohB	D-alanyl-D-alanine endopeptidase	; 87082054	P0AFI5	b2134
EG12016	ECK2128	yohC	None	Yip1 family inner membrane protein	87082055	P0AD17	b2135
EG12017	ECK2129	yohD	None	DedA family inner membrane protein	87082056	P33366	b2136
EG12019	ECK2130	yohF	yohE	putative oxidoreductase	; 1788459	P33368	b2137
EG12020	ECK2131	mdtQ'	yohG, yohH	pseudogene	87082057	P33369	b2139
EG12022	ECK2133	dusC	yohI	tRNA-dihydrouridine synthase C	1788462	P33371	b2140
EG12023	ECK2134	yohJ	None	UPF0299 family inner membrane protein	1788463	P60632	b2141
EG12024	ECK2135	yohK	None	LrgB family inner membrane protein	1788464	P0AD19	b2142
EG12025	ECK2137	sanA	sfiX(St), yeiF	DUF218 superfamily vancomycin high temperature exclusion protein	; 1788466	P0AFY2	b2144
EG12026	ECK2147	yeiG	None	S-formylglutathione hydrolase	1788477	P33018	b2154
EG12027	ECK2151	yeiH	None	UPF0324 family inner membrane protein	1788482	P62723	b2158
EG12028	ECK2153	yeiI	None	putative kinase	1788484	P33020	b2160
EG12029	ECK2154	nupX	yeiJ	nucleoside permease	1788485	P33021	b2161
EG12030	ECK2155	rihB	yeiK	ribonucleoside hydrolase 2	1788486	P33022	b2162
EG12031	ECK2156	yeiL	None	nitrogen starvation viability factor; putative ColA sensitivity effector; putative Crp-Fnr family transcriptional regulator	; 1788487	P0A9E9	b2163
EG12032	ECK2157	psuT	pscT, yeiM	putative nucleoside transporter	1788488	P33024	b2164
EG12033	ECK2158	psuG	pscG, yeiN	pseudouridine 5'-phosphate glycosidase	1788490	P33025	b2165
EG12034	ECK2163	setB	yeiO	lactose/glucose efflux system	; 1788495	P33026	b2170
EG12035	ECK2165	yeiP	None	elongation factor P-like protein	87082061	P0A6N8	b2171
EG12036	ECK2166	yeiQ	None	putative NAD-dependent D-mannonate oxidoreductase	1788497	P33029	b2172
EG12037	ECK2171	yejA	None	microcin C ABC transporter periplasmic binding protein	87082063	P33913	b2177
EG12038	ECK2172	yejB	None	microcin C ABC transporter permease	1788504	P0AFU0	b2178
EG12040	ECK2173	yejE	None	microcin C ABC transporter permease	1788505	P33915	b2179
EG12041	ECK2174	yejF	None	microcin C ABC transporter ATPase	1788506	P33916	b2180
EG12042	ECK2175	yejG	None	uncharacterized protein	1788507	P0AD21	b2181
EG12043	ECK2181	yejL	None	UPF0352 family protein	1788514	P0AD24	b2187
EG12044	ECK2177	rsuA	yejD	16S rRNA pseudouridine(516) synthase	; 1788510	P0AA43	b2183
EG12045	ECK2178	yejH	yejI, yejJ	putative ATP-dependent DNA or RNA helicase	1788511	P33919	b2184
EG12048	ECK2180	yejK	ndpA	spermidine nucleoid-associated protein	; 1788513	P33920	b2186
EG12049	ECK2182	yejM	yejN	essential inner membrane DUF3413 domain-containing protein; lipid A production and membrane permeability factor	1788515	P0AD27	b2188
EG12051	ECK2184	yejO'	None	pseudogene, autotransporter outer membrane homology	1788516	P33924	b2190
EG12052	ECK2186	ccmH	yejP	heme lyase, CcmH subunit	; 1788522	P0ABM9	b2194
EG12053	ECK2187	dsbE	ccmG, yejQ	periplasmic thioredoxin of cytochrome c-type biogenesis	; 1788523	P0AA86	b2195
EG12054	ECK2188	ccmF	yejR	heme lyase, CcmF subunit	; 1788524	P33927	b2196
EG12055	ECK2189	ccmE	yejS	periplasmic heme chaperone	; 1788525	P69490	b2197
EG12057	ECK2191	ccmC	yejT, yejU	heme export ABC transporter permease; CcmE-interacting protein	; 1788527	P0ABM1	b2199
EG12058	ECK2192	ccmB	yejV	heme export ABC transporter permease	; 1788528	P0ABL8	b2200
EG12059	ECK2193	ccmA	yejW	heme export ABC transporter ATPase	; 87082064	P33931	b2201
EG12060	ECK2194	napC	yejX	quinol dehydrogenase, electron source for NapAB	; 1788530	P0ABL5	b2202
EG12061	ECK2195	napB	yejY	nitrate reductase, small, cytochrome C550 subunit, periplasmic	; 87082065	P0ABL3	b2203
EG12062	ECK2196	napH	yejZ	ferredoxin-type protein	; 1788532	P33934	b2204
EG12064	ECK2197	napG	yojA, yojB	ferredoxin-type protein	; 1788533	P0AAL3	b2205
EG12067	ECK2198	napA	yojC, yojD, yojE	nitrate reductase, periplasmic, large subunit	; 1788534	P33937	b2206
EG12068	ECK2200	napF	yojG	ferredoxin-type protein, role in electron transfer to periplasmic nitrate reductase NapA	; 1788536	P0AAL0	b2208
EG12069	ECK2202	mqo	yojH	malate dehydrogenase, FAD/NAD(P)-binding domain	1788539	P33940	b2210
EG12070	ECK2203	yojI	yojJ	microcin J25 efflux ABC transporter permease/ATPase	1788540	P33941	b2211
EG12073	ECK2206	apbE	yojK, yojL	putative thiamine-synthetic flavin transferase lipoprotein	; 1788543	P0AB85	b2214
EG12074	ECK4466	mokC	gefL	regulatory protein for HokC, overlaps CDS of hokC	1786200	P33236	b0018
EG12075	ECK3460	nikA	hydC, hydD	nickel/heme ABC transporter periplasmic binding protein	; 1789887	P33590	b3476
EG12076	ECK3461	nikB	hydC, hydD	nickel ABC transporter permease	; 1789888	P33591	b3477
EG12077	ECK3462	nikC	hydC, hydD	nickel ABC transporter permease	; 1789889	P0AFA9	b3478
EG12078	ECK3463	nikD	hydC, hydD	nickel ABC transporter ATPase	; 1789890	P33593	b3479
EG12079	ECK3464	nikE	hydC, hydD	nickel ABC transporter ATPase	; 1789891	P33594	b3480
EG12080	ECK2693	recX	oraA	regulatory protein for RecA	; 1789050	P33596	b2698
EG12081	ECK2822	ppdA	None	putative prepilin peptidase-dependent protein	1789190	P33554	b2826
EG12082	ECK2282	nuoA	None	NADH:ubiquinone oxidoreductase, membrane subunit A	; 1788625	P0AFC3	b2288
EG12083	ECK2281	nuoB	None	NADH:ubiquinone oxidoreductase, chain B	; 1788624	P0AFC7	b2287
EG12084	ECK2280	nuoC	nuoCD, nuoD	NADH:ubiquinone oxidoreductase, fused CD subunit	; 1788622	P33599	b2286
EG12086	ECK2279	nuoE	None	NADH:ubiquinone oxidoreductase, chain E	; 1788621	P0AFD1	b2285
EG12087	ECK2277	nuoG	None	NADH:ubiquinone oxidoreductase, chain G	; 1788619	P33602	b2283
EG12088	ECK2276	nuoH	None	NADH:ubiquinone oxidoreductase, membrane subunit H	; 1788618	P0AFD4	b2282
EG12089	ECK2275	nuoI	None	NADH:ubiquinone oxidoreductase, chain I	; 1788617	P0AFD6	b2281
EG12090	ECK2274	nuoJ	None	NADH:ubiquinone oxidoreductase, membrane subunit J	; 1788616	P0AFE0	b2280
EG12091	ECK2273	nuoK	None	NADH:ubiquinone oxidoreductase, membrane subunit K	; 1788615	P0AFE4	b2279
EG12092	ECK2272	nuoL	None	NADH:ubiquinone oxidoreductase, membrane subunit L	; 1788614	P33607	b2278
EG12093	ECK2270	nuoN	None	NADH:ubiquinone oxidoreductase, membrane subunit N	; 1788612	P0AFF0	b2276
EG12094	ECK0070	sgrR	yabN	transcriptional DNA-binding transcriptional activator of sgrS sRNA	; 1786256	P33595	b0069
EG12095	ECK3164	secG	prlH	preprotein translocase membrane subunit	; 1789565	P0AG99	b3175
EG12096	ECK4221	chpB	chpBK, yjfE	toxin of the ChpB-ChpS toxin-antitoxin system	; 1790672	P33647	b4225
EG12097	ECK2591	yfiH	None	UPF0124 family protein	1788945	P33644	b2593
EG12098	ECK2592	rluD	sfhB, yfiI	23S rRNA pseudouridine(1911,1915,1917) synthase	; 1788946	P33643	b2594
EG12099	ECK4141	efp	None	polyproline-specific translation elongation factor EF-P	; 1790590	P0A6N4	b4147
EG12100	ECK2460	tktB	None	transketolase 2, thiamine triphosphate-binding	; 1788808	P33570	b2465
EG12101	ECK3395	feoA	None	ferrous iron transporter, protein A	; 1789812	P0AEL3	b3408
EG12102	ECK3396	feoB	None	ferrous iron transporter protein B and GTP-binding protein; membrane protein	; 1789813	P33650	b3409
EG12103	ECK1409	gapC'	None	pseudogene, GAP dehydrogenase	; 87081902	P33898	b4493
EG12104	ECK2167	yeiR	None	Zn-stimulated GTPase involved in zinc homeostasis; mutants are cadmium and EDTA sensitive; Zn(2+) binding protein	; 1788499	P33030	b2173
EG12105	ECK2150	yeiE	None	putative DNA-binding transcriptional regulator	1788481	P0ACR4	b2157
EG12106	ECK0106	hofB	hopB	T2SE secretion family protein; P-loop ATPase superfamily protein	; 1786296	P36645	b0107
EG12107	ECK0107	ppdD	None	putative prepilin peptidase-dependent pilin	; 1786297	P36647	b0108
EG12108	ECK2704	norR	ygaA	anaerobic nitric oxide reductase DNA-binding transcriptional activator	; 87082152	P37013	b2709
EG12110	ECK1407	ydcF	None	DUF218 superfamily protein, SAM-binding	1787683	P34209	b1414
EG12111	ECK2737	nlpD	None	activator of AmiC murein hydrolase activity, lipoprotein	; 1789099	P0ADA3	b2742
EG12112	ECK2620	alpA	None	CP4-57 prophage; DNA-binding transcriptional activator	; 1788977	P33997	b2624
EG12113	ECK3378	hofQ	hopQ	DNA catabolic putative fimbrial transporter	1789793	P34749	b3391
EG12114	ECK4366	prfC	miaD, sra, srb, tos	peptide chain release factor RF-3	; 1790835	P0A7I4	b4375
EG12115	ECK4365	yjjG	None	dUMP phosphatase	1790833	P0A8Y1	b4374
EG12116	ECK0458	acrR	ybaH	transcriptional repressor	; 1786669	P0ACS9	b0464
EG12119	ECK1228	ychJ	None	UPF0225 family protein	1787484	P37052	b1233
EG12120	ECK1229	rssA	ychK	putative patatin-like family phospholipase	; 1787485	P0AFR0	b1234
EG12121	ECK1230	rssB	hnr, mviA(S.t.), sprE, verA, ychL	PcnB-degradosome interaction factor; response regulator	; 1787487	P0AEV1	b1235
EG12122	ECK2939	yggI	sprT	Zn-dependent metalloprotease-related protein	1789313	P39902	b2944
EG12123	ECK2283	lrhA	genR, hexA(E.c.)	transcriptional repressor of flagellar, motility and chemotaxis genes	; 1788626	P36771	b2289
EG12124	ECK2303	hisJ	None	histidine ABC transporter periplasmic binding protein	; 1788648	P0AEU0	b2309
EG12125	ECK2302	hisQ	None	histidine ABC transporter permease	; 1788646	P52094	b2308
EG12126	ECK0687	kdpF	None	potassium ion accessory transporter subunit	; 87081773	P36937	b4513
EG12127	ECK4235	treB	None	trehalose-specific PTS enzyme: IIB and IIC component	; 2367362	P36672	b4240
EG12128	ECK2824	lgt	umpA	phosphatidylglycerol-prolipoprotein diacylglyceryl transferase	; 1789192	P60955	b2828
EG12129	ECK2493	uraA	None	uracil permease	; 1788843	P0AGM7	b2497
EG12130	ECK2523	hscA	hsc	DnaK-like molecular chaperone specific for IscU	; 1788875	P0A6Z1	b2526
EG12131	ECK2524	hscB	yfhE	HscA co-chaperone, J domain-containing protein Hsc56; IscU-specific chaperone HscAB	; 1788876	P0A6L9	b2527
EG12132	ECK2525	iscA	yfhF	FeS cluster assembly protein	1788877	P0AAC8	b2528
EG12133	ECK2421	ucpA	yfeF	furfural resistance protein, putative short-chain oxidoreductase	; 87082100	P37440	b2426
EG12134	ECK0802	rhtA	ybiF	threonine and homoserine efflux system	; 1787033	P0AA67	b0813
EG12135	ECK0803	ompX	ybiG	outer membrane protein X	; 1787034	P0A917	b0814
EG12136	ECK2073	iceT	mdtD, yegB	putative citrate/iron-citrate/zinc-citrate efflux transporter	1788392	P36554	b2077
EG12137	ECK0192	nlpE	cutF	lipoprotein involved with copper homeostasis and adhesion	; 1786390	P40710	b0192
EG12138	ECK0193	yaeF	yaeK	putative lipoprotein	; 87081699	P37056	b0193
EG12139	ECK2552	yfhG	qseG	putative outer membrane protein modulating the QseEF response	1788906	P0AD44	b2555
EG12140	ECK1655	ydhB	None	LysR family putative transcriptional regulator	1787949	P0ACR2	b1659
EG12141	ECK1656	ydhC	None	putative arabinose efflux transporter	48994889	P37597	b1660
EG12142	ECK2791	sdaC	dcrA	putative serine transporter	; 1789160	P0AAD6	b2796
EG12143	ECK2199	napD	yojF	assembly protein for periplasmic nitrate reductase	; 1788535	P0A9I5	b2207
EG12144	ECK0676	pgm	blu, pgmA	phosphoglucomutase	; 1786904	P36938	b0688
EG12146	ECK3194	yhbJ	rapZ	adaptor protein for GlmZ/GlmY sRNA decay, glucosamine-6-phosphate-regulated; NTPase	1789598	P0A894	b3205
EG12147	ECK3195	npr	ptsO, rpoR, yhbK	phosphohistidinoprotein-hexose phosphotransferase component of N-regulated PTS system (Npr)	; 1789599	P0A9N0	b3206
EG12148	ECK2938	galP	Pgal	D-galactose transporter	; 1789312	P0AEP1	b2943
EG12149	ECK1592	asr	None	acid shock-inducible periplasmic protein	; 87081945	P36560	b1597
EG12150	ECK1987	cobS	None	cobalamin synthase	; 1788301	P36561	b1992
EG12151	ECK1986	cobT	None	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	; 1788300	P36562	b1991
EG12152	ECK4261	idnK	gntV	D-gluconate kinase, thermosensitive	; 1790719	P39208	b4268
EG12153	ECK1463	narU	yddF	nitrate/nitrite transporter	; 1787743	P37758	b1469
EG12154	ECK1351	sieB	git	phage superinfection exclusion protein, Rac prophage	; 87081885	P38392	b1353
EG12155	ECK1350	kilR	kil, ydaD	killing protein, Rac prophage; FtsZ inhibitor protein	87081884	P38393	b1352
EG12156	ECK1349	ydaE	None	conserved protein, Rac prophage	; 87081883	P38394	b4526
EG12157	ECK1352	ydaF	None	uncharacterized protein, Rac prophage	87081886	P0ACW0	b4527
EG12158	ECK0388	rdgC	yaiD	nucleoid-associated ssDNA and dsDNA binding protein; competitive inhibitor of RecA function	; 1786592	P36767	b0393
EG12159	ECK0386	yaiE	None	UPF0345 family protein	1786590	P0C037	b0391
EG12161	ECK0297	eaeH'	None	pseudogene, attaching and effacing protein homology	1786488	P36943	b0297
EG12162	ECK2083	gatR'	None	pseudogene, repressor for gat operon	; 87082039	P36930	b4498
EG12163	ECK3275	rsmB	fmu, fmv, rrmB, sun, yhdB	16S rRNA m(5)C967 methyltransferase, SAM-dependent	; 2367212	P36929	b3289
EG12164	ECK4387	ytjC	gpmB	phosphatase	1790856	P0A7A2	b4395
EG12165	ECK0913	mukF	kicB	chromosome condensin MukBEF, kleisin-like subunit, binds calcium	; 1787152	P60293	b0922
EG12166	ECK0911	elyC	ycbC	envelope biogenesis factor; DUF218 superfamily protein	1787150	P0AB01	b0920
EG12167	ECK0912	smtA	ycbD	putative S-adenosyl-L-methionine-dependent methyltransferase	; 1787151	P36566	b0921
EG12168	ECK0395	brnQ	hrbA	branched-chain amino acid transport system 2 carrier protein; LIV-II transport system for Ile, Leu, and Val	; 1786601	P0AD99	b0401
EG12169	ECK2190	ccmD	yojM	cytochrome c biogenesis protein; heme export ABC transporter holo-CcmE release factor	; 1788526	P0ABM5	b2198
EG12171	ECK4372	yjjI	yjjH	DUF3029 family protein, putative glycine radical enzyme	1790840	P37342	b4380
