,LocusTag,Length,Entry,EntryName,Status,ProteinNames,GeneNames,LocusTag,UpdatedSymbol,Symbol_gtf,x77459_Emp1_1,x77460_Emp2_2,x77461_Emp3_3,x77456_TosR1_1,x77457_TosR2_2,x77458_TosR3_3,logFC,logCPM,LR,PValue,FDR,DE
2239,c4012,462,A0A0H2VB64,A0A0H2VB64_ECOL6,unreviewed,Biotin carboxylase (EC 6.3.4.14),accC c4012,c4012,accC,accC,52.21174505,89.67570448,70.70872151,48.97623222,134.0900875,102.9080606,0.4249453,6.378413647,1.091150516,0.296216432,0.71828918,no
550,c0982,90,A0A0H2V7S3,A0A0H2V7S3_ECOL6,unreviewed,Glutaredoxin 1,grxA c0982,c0982,grxA,grxA,2.726461882,2.987071659,2.296522579,2.598974587,4.825488428,3.504910295,0.399210869,1.72043785,1.084412562,0.297712529,0.718571194,no
1572,c2846,120,P0AC20,FOLX_ECOL6,reviewed,"Dihydroneopterin triphosphate 2'-epimerase (EC 5.1.99.-) (D-erythro-7,8-dihydroneopterin triphosphate epimerase)",folX c2846,c2846,folX,folX,9.133647306,12.52027908,12.93304821,9.067533559,16.37741527,20.54266867,0.401659597,3.762653827,1.079270518,0.298860803,0.718571194,no
434,c0767,152,A0A0H2V585,A0A0H2V585_ECOL6,unreviewed,Uncharacterized protein,c0767,c0767,,c0767,3.817046635,5.27504144,4.472175549,6.295294,7.603799947,4.08906201,0.385499272,2.445558188,1.079521948,0.298804524,0.718571194,no
250,c0462,185,A0A0H2V6S1,A0A0H2V6S1_ECOL6,unreviewed,Uncharacterized protein,yaiL c0462,c0462,yaiL,yaiL,6.543508518,7.944339518,7.252176565,8.894268587,10.82079223,8.37284126,0.357948242,3.084580793,1.083270318,0.297967114,0.718571194,no
1178,c2172,219,A0A0H2V7V7,A0A0H2V7V7_ECOL6,unreviewed,Pyrazinamidase/nicotinamidase,ydjB c2172,c2172,ydjB,ydjB,5.861893047,8.325667815,8.823481488,5.948764055,17.98591141,8.080765402,0.454759712,3.205170649,1.087497344,0.297026382,0.718571194,no
1924,c3499,298,A0A0H2VBX0,A0A0H2VBX0_ECOL6,unreviewed,Hypothetical transcriptional regulator ygfI,ygfI c3499,c3499,ygfI,ygfI,13.9049556,5.847033885,5.560002033,11.60875316,2.632084597,1.947172386,-0.613069646,2.837599948,1.082935362,0.298041822,0.718571194,no
2557,c4512,439,A0A0H2VEY2,A0A0H2VEY2_ECOL6,unreviewed,Uncharacterized protein,c4512,c4512,,c4512,32.85386568,29.80716187,23.81131306,29.62831029,12.42928837,23.65814449,-0.388209864,4.679812894,1.087552673,0.297014094,0.718571194,no
61,c0104,452,A0A0H2V409,A0A0H2V409_ECOL6,unreviewed,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10) (D-alanyl-D-alanine-adding enzyme),murF c0104,c0104,murF,murF,20.99375649,25.48544117,23.0860954,23.9105662,32.16992285,32.12834437,0.337816167,4.725911686,1.086809962,0.2971791,0.718571194,no
3009,c5339,473,A0A0H2VGD8,A0A0H2VGD8_ECOL6,unreviewed,"PTS system, trehalose-specific IIBC component",treB c5339,c5339,treB,treB,22.08434125,29.80716187,42.3043633,17.90404716,54.68886885,56.27328195,0.448733385,5.218748913,1.081258212,0.298416256,0.718571194,no
426,c0749,632,A0A0H2V570,A0A0H2V570_ECOL6,unreviewed,Asparagine synthetase B (Glutamine-hydrolyzing) (EC 6.3.5.4),asnB c0749,c0749,asnB,asnB,48.8036677,39.59458816,40.49131916,39.90869866,15.50005374,41.8642063,-0.400470667,5.245528937,1.079275717,0.29885964,0.718571194,no
968,c1757,644,Q8FHT6,RNB_ECOL6,reviewed,Exoribonuclease 2 (EC 3.1.13.1) (Exoribonuclease II) (RNase II) (Ribonuclease II),rnb c1757,c1757,rnb,rnb,8.315708741,9.215433841,6.647828518,5.60223411,15.06137297,12.16982741,0.422522191,3.261792536,1.081345444,0.298396766,0.718571194,no
349,c0604,834,A0A0H2V5K6,A0A0H2V5K6_ECOL6,unreviewed,Copper-transporting P-type ATPase (EC 3.6.3.4),ybaR c0604,c0604,ybaR,ybaR,18.13097152,18.30375825,26.10783563,14.20772774,17.83968449,17.23247562,-0.345638348,4.230315865,1.077971988,0.29915168,0.718729355,no
920,c1696,280,P0A440,PURU_ECOL6,reviewed,Formyltetrahydrofolate deformylase (EC 3.5.1.10) (Formyl-FH(4) hydrolase),purU c1696,c1696,purU,purU,13.22334013,9.533207422,9.911307972,10.97344826,4.240580739,9.054351595,-0.40474774,3.280446442,1.074668788,0.299893253,0.719969291,no
1730,c3104,125,A0A0H2V9N0,A0A0H2V9N0_ECOL6,unreviewed,Uncharacterized protein,c3104,c3104,,c3104,5.998216141,4.703048995,2.17565297,5.775499082,0.146226922,1.752455147,-0.693710766,1.904993368,1.05949509,0.303330371,0.724033896,no
1050,c1952,144,A0A0H2V9P4,A0A0H2V9P4_ECOL6,unreviewed,Multiple antibiotic resistance protein marR,marR c1952,c1952,marR,marR,2.3174926,2.542188646,2.659131407,2.77223956,4.240580739,3.018117198,0.38074645,1.620198038,1.06151064,0.302870896,0.724033896,no
1796,c3244,171,Q8FEP8,LUXS_ECOL6,reviewed,S-ribosylhomocysteine lyase (EC 4.4.1.21) (AI-2 synthesis protein) (Autoinducer-2 production protein LuxS),luxS c3244,c3244,luxS,ygaG,61.07274617,56.05525964,73.60959214,52.8458166,32.46237669,63.0883853,-0.359387511,5.826006304,1.05819547,0.303627117,0.724033896,no
2395,c4228,231,A0A0H2VD78,A0A0H2VD78_ECOL6,unreviewed,Protein yhhW,yhhW c4228,c4228,yhhW,yhhW,17.17670986,12.2025055,10.99913446,14.09221776,5.117942272,10.70944812,-0.413024997,3.579549839,1.05828092,0.303607595,0.724033896,no
756,c1346,251,A0A0H2V6B3,A0A0H2V6B3_ECOL6,unreviewed,Flagellar basal body protein,flgF c1346,c1346,flgF,flgF,18.67626389,16.20645262,14.02087469,19.05914697,17.54723065,25.31324102,0.342351191,4.222374636,1.060829579,0.303026054,0.724033896,no
1581,c2863,270,P65844,TRUA_ECOL6,reviewed,tRNA pseudouridine synthase A (EC 5.4.99.12) (tRNA pseudouridine(38-40) synthase) (tRNA pseudouridylate synthase I) (tRNA-uridine isomerase I),truA c2863,c2863,truA,truA,6.27086233,6.800354628,5.922610862,6.641823945,11.40569992,7.009820589,0.38004901,2.900596768,1.06325669,0.302473583,0.724033896,no
2419,c4284,283,A0A0H2VBR2,A0A0H2VBR2_ECOL6,unreviewed,Putative aldolase,c4284,c4284,,c4284,1.772200224,1.843086768,2.296522579,1.674894734,0.877361532,1.655096528,-0.424122123,0.916829242,1.064838463,0.302114232,0.724033896,no
1956,c3551,359,P0C067,MLTC_ECOL6,reviewed,Membrane-bound lytic murein transglycosylase C (EC 4.2.2.n1) (Murein lyase C),mltC c3551,c3551,mltC,mltC,2.862784977,3.62261882,3.142609845,3.292034477,5.849076882,3.796986153,0.37982493,1.964714036,1.059662025,0.303292282,0.724033896,no
127,c0196,505,Q8FL13,DGTP_ECOL6,reviewed,Deoxyguanosinetriphosphate triphosphohydrolase (dGTP triphosphohydrolase) (dGTPase) (EC 3.1.5.1),dgt c0196,c0196,dgt,dgt,21.81169506,20.78239218,23.20696501,24.66138108,10.38211147,15.09058599,-0.380687412,4.291574335,1.062960349,0.302540968,0.724033896,no
1311,c2357,235,A0A0H2VAH9,A0A0H2VAH9_ECOL6,unreviewed,Flagellar assembly protein fliH,fliH c2357,c2357,fliH,fliH,2.999108071,4.321720698,4.593045158,4.447134293,7.311346102,4.18642063,0.387463711,2.2592838,1.050720938,0.305341107,0.724398999,no
1925,c3500,246,A0A0H2VAA7,A0A0H2VAA7_ECOL6,unreviewed,Uncharacterized protein,yggE c3500,c3500,yggE,yggE,50.9848372,43.97986357,31.06348962,44.52909792,15.9387345,34.27023399,-0.406127814,5.212372123,1.056231518,0.304076265,0.724398999,no
924,c1700,302,P0AEP4,GALU_ECOL6,reviewed,UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9) (Alpha-D-glucosyl-1-phosphate uridylyltransferase) (UDP-glucose pyrophosphorylase) (UDPGP) (Uridine diphosphoglucose pyrophosphorylase),galU c1700,c1700,galU,galU,66.79831612,69.08397645,56.4461076,65.03211967,20.76422293,58.0257371,-0.41591705,5.815746465,1.054801045,0.304403948,0.724398999,no
306,c0543,315,P0ABJ2,CYOA_ECOL6,reviewed,Cytochrome bo(3) ubiquinol oxidase subunit 2 (Cytochrome o ubiquinol oxidase subunit 2) (Cytochrome o subunit 2) (Oxidase bo(3) subunit 2) (Ubiquinol oxidase chain B) (Ubiquinol oxidase polypeptide II) (Ubiquinol oxidase subunit 2),cyoA c0543,c0543,cyoA,cyoA,52.21174505,86.87929697,54.99567229,50.24684202,97.82581085,108.0680674,0.397388138,6.232769531,1.051745351,0.305105459,0.724398999,no
1897,c3453,541,A0A0H2VCP8,A0A0H2VCP8_ECOL6,unreviewed,Uncharacterized protein,yqeB c3453,c3453,yqeB,yqeB,3.408077353,3.050626375,3.263479454,4.21611433,3.655673051,4.381137868,0.348659286,1.947244326,1.051740843,0.305106496,0.724398999,no
710,c1250,725,A0A0H2V663,A0A0H2V663_ECOL6,unreviewed,Siderophore receptor IroN,iroN c1250,c1250,iroN,iroN,13.76863251,16.20645262,14.86696196,18.59710705,20.03308832,17.91398595,0.330491042,4.095200384,1.052609444,0.304906873,0.724398999,no
653,c1137,318,A0A0H2V5U5,A0A0H2V5U5_ECOL6,unreviewed,Glucose-1-phosphatase (EC 3.1.3.10),agp c1137,c1137,agp,agp,8.861001118,8.770550828,12.08696094,9.760593449,3.801899973,8.470199879,-0.409223721,3.148059721,1.04777441,0.306020218,0.725406499,no
2667,c4726,106,Q8FBN9,CYAY_ECOL6,reviewed,Protein CyaY,cyaY c4726,c4726,cyaY,cyaY,15.94980201,24.65922986,18.0095718,19.11690196,33.04728438,23.65814449,0.360925308,4.495722986,1.044011893,0.306890244,0.725501131,no
2798,c4941,165,P0A7J4,RL10_ECOL6,reviewed,50S ribosomal protein L10,rplJ c4941,c4941,rplJ,rplJ,815.0757798,1506.818765,1094.232574,1195.355045,1987.808778,1306.747388,0.394159163,10.3639584,1.043671973,0.306969003,0.725501131,no
2879,c5116,511,A0A0H2VEV5,A0A0H2VEV5_ECOL6,unreviewed,Proline/betaine transporter,proP c5116,c5116,proP,proP,28.49152667,19.89262615,19.2182679,23.67954624,8.334934557,18.59549629,-0.405336974,4.317811166,1.04534262,0.306582167,0.725501131,no
1586,c2870,668,Q8FFH0,MNMC_ECOL6,reviewed,tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC (tRNA mnm(5)s(2)U biosynthesis bifunctional protein) [Includes: tRNA (mnm(5)s(2)U34)-methyltransferase (EC 2.1.1.61); FAD-dependent cmnm(5)s(2)U34 oxidoreductase (EC 1.5.-.-)],mnmC c2870,c2870,mnmC,yfcK,14.04127869,16.77844506,14.1417443,11.55099816,12.72174222,11.39095846,-0.339410479,3.768423396,1.043858611,0.306925756,0.725501131,no
1703,c3072,399,A0A0H2VB31,A0A0H2VB31_ECOL6,unreviewed,Uncharacterized protein,yphH c3072,c3072,yphH,yphH,1.499554035,2.033750917,2.900870626,3.003259523,2.339630753,3.018117198,0.392113272,1.419466762,1.04266824,0.307201721,0.725514123,no
1792,c3235,245,A0A0H2VBE2,A0A0H2VBE2_ECOL6,unreviewed,Uncharacterized protein,ygaZ c3235,c3235,ygaZ,ygaZ,5.725569953,6.355471615,7.493915784,4.273869321,6.580211492,4.575855107,-0.363015348,2.577206965,1.041673558,0.307432566,0.725522678,no
584,c1026,164,P0ACJ1,LRP_ECOL6,reviewed,Leucine-responsive regulatory protein,lrp c1026,c1026,lrp,lrp,38.71575873,34.255992,39.04088384,33.49789468,21.93403831,33.2966478,-0.331408376,5.073071561,1.039430564,0.307953945,0.726216356,no
2353,c4171,133,P0ACG9,HSLR_ECOL6,reviewed,Heat shock protein 15 (HSP15),hslR c4171,c4171,hslR,yrfH,6.9524778,7.880784802,12.08696094,9.933858422,11.55192684,13.24077222,0.366534871,3.383497742,1.037101267,0.3084966,0.726423042,no
2657,c4715,450,Q8FBP8,WZYE_ECOL6,reviewed,Probable ECA polymerase,wzyE wzy c4715,c4715,"wzyE,wzy",wecF,4.089692824,4.131056549,2.538261798,3.407544459,6.43398457,4.673213726,0.395387484,2.119444416,1.037419755,0.308422329,0.726423042,no
3053,c5441,179,Q8FA72,DNAT_ECOL6,reviewed,Primosomal protein 1 (Primosomal protein I),dnaT c5441,c5441,dnaT,dnaT,1.772200224,1.334649039,2.05478336,1.732649725,0.73113461,0.973586193,-0.46436409,0.703939032,1.034296446,0.309151688,0.726956192,no
1228,c2250,290,A0A0H2V858,A0A0H2V858_ECOL6,unreviewed,Uncharacterized protein,yebZ c2250,c2250,yebZ,yebZ,36.12561994,31.20536563,29.37131509,35.17278941,9.943430699,26.77362031,-0.41954965,4.826937095,1.033209523,0.309406033,0.726956192,no
3096,c5511,NA,NA,NA,NA,NA,NA,NA,NA,c5511,5.452923765,5.020822576,4.351305939,5.486724128,12.72174222,2.82339996,0.483035642,2.59311417,1.034020715,0.309216185,0.726956192,no
377,c0665,127,A0A0H2V754,A0A0H2V754_ECOL6,unreviewed,Uncharacterized protein,ybdF c0665,c0665,ybdF,ybdF,5.861893047,2.033750917,3.021740235,3.407544459,1.46226922,2.628682721,-0.469021494,1.686171783,1.027607769,0.310721197,0.728973389,no
168,c0246,266,P0A8U3,YAFD_ECOL6,reviewed,UPF0294 protein YafD,yafD c0246,c0246,yafD,yafD,16.90406367,20.21039973,22.60261696,18.07731213,13.16042298,15.96681356,-0.334668546,4.173307722,1.027849398,0.310664318,0.728973389,no
806,c1428,43,A0A0H2V6G1,A0A0H2V6G1_ECOL6,unreviewed,Uncharacterized protein,c1428,c1428,,c1428,18.26729461,17.66821109,17.76783258,18.48159706,12.42928837,11.19624122,-0.342842146,4.016850052,1.025662246,0.311179663,0.7293997,no
1922,c3495,219,P0A7Z1,RPIA_ECOL6,reviewed,Ribose-5-phosphate isomerase A (EC 5.3.1.6) (Phosphoriboisomerase A) (PRI),rpiA c3495,c3495,rpiA,rpiA,49.89425245,63.364052,44.9634947,51.57520681,30.56142671,42.93515111,-0.337319982,5.569789613,1.024898916,0.311359784,0.7293997,no
286,c0520,115,P0AAQ3,YAJD_ECOL6,reviewed,Uncharacterized protein YajD,yajD c0520,c0520,yajD,yajD,32.17225021,32.98489768,36.50262204,44.87562787,50.44828811,32.32306161,0.327439957,5.262347021,1.020993767,0.312283401,0.730133339,no
2744,c4870,251,Q8FBC8,CDH_ECOL6,reviewed,CDP-diacylglycerol pyrophosphatase (EC 3.6.1.26) (CDP-diacylglycerol phosphatidylhydrolase) (CDP-diglyceride hydrolase),cdh c4870,c4870,cdh,cdh,2.862784977,2.605743362,3.505218673,2.483464605,6.43398457,3.407551675,0.422406956,1.857222992,1.019754811,0.312577176,0.730133339,no
1132,c2102,478,Q8FH30,YDIU_ECOL6,reviewed,UPF0061 protein YdiU,ydiU c2102,c2102,ydiU,ydiU,10.90584753,10.86785646,14.1417443,11.72426314,17.40100372,16.84304114,0.351715892,3.783891838,1.022572343,0.311909618,0.730133339,no
3141,c5585,NA,NA,NA,NA,NA,NA,NA,NA,alaT,9.542616588,10.55008288,8.702611878,11.3199782,22.518946,5.744158539,0.446011526,3.520574498,1.019710787,0.312587621,0.730133339,no
2966,c5260,65,A0A0H2VDW8,A0A0H2VDW8_ECOL6,unreviewed,Uncharacterized protein,yjeT c5260,c5260,yjeT,yjeT,2.590138788,1.398203755,2.780001017,2.021424679,1.754723065,0.973586193,-0.450838969,1.043149944,1.010237923,0.314845847,0.731661418,no
577,c1017,74,P0A969,CSPD_ECOL6,reviewed,Cold shock-like protein CspD (CSP-D),cspD c1017,c1017,cspD,cspD,5.316600671,5.719924453,8.34000305,3.696319413,3.363219207,7.496613686,-0.406047465,2.542023287,1.01312466,0.314155429,0.731661418,no
483,c0843,272,A0A0H2V7G4,A0A0H2V7G4_ECOL6,unreviewed,Uncharacterized protein,ybhA c0843,c0843,ybhA,ybhA,4.498662106,3.368399956,2.05478336,2.367954624,2.047176909,3.018117198,-0.401689669,1.618167732,1.013922608,0.313964934,0.731661418,no
903,c1670,277,A0A0H2V965,A0A0H2V965_ECOL6,unreviewed,Release factor glutamine methyltransferase (RF MTase) (EC 2.1.1.297) (N5-glutamine methyltransferase PrmC) (Protein-(glutamine-N5) MTase PrmC) (Protein-glutamine N-methyltransferase PrmC),hemK prmC c1670,c1670,"hemK,prmC",hemK,3.544400447,2.605743362,1.933913751,4.158359339,6.287757648,1.168303432,0.508902755,1.769550318,1.012429661,0.31432147,0.731661418,no
1707,c3077,457,A0A0H2V9I9,A0A0H2V9I9_ECOL6,unreviewed,Uncharacterized protein,yfhA c3077,c3077,yfhA,yfhA,7.906739459,8.135003667,6.768698127,7.392638825,12.13683453,10.02793779,0.359309547,3.147562159,1.012584038,0.314284578,0.731661418,no
2836,c5015,459,A0A0H2VEP0,A0A0H2VEP0_ECOL6,unreviewed,DNA-damage-inducible protein F,dinF c5015,c5015,dinF,dinF,14.45024798,10.80430174,9.790438363,9.471818495,11.55192684,6.133593016,-0.36998044,3.391236776,1.010903072,0.314686588,0.731661418,no
621,c1075,870,A0A0H2V7W8,A0A0H2V7W8_ECOL6,unreviewed,Aminopeptidase N (EC 3.4.11.2),pepN c1075,c1075,pepN,pepN,43.35074393,25.16766759,27.55827095,27.43362064,12.28306145,32.61513746,-0.40205542,4.820502652,1.010575979,0.314764892,0.731661418,no
1966,c3568,80,A0A0H2VCY1,A0A0H2VCY1_ECOL6,unreviewed,Uncharacterized protein,c3568,c3568,,c3568,81.38488719,101.1791081,114.2217809,99.22307423,167.7222796,116.0514742,0.366719338,6.825406311,1.007341735,0.31554052,0.732209943,no
2767,c4895,541,A0A0H2VCX5,A0A0H2VCX5_ECOL6,unreviewed,Uncharacterized protein,c4895,c4895,,c4895,2.044846412,2.351524497,1.571304922,1.790404716,4.386807661,2.336606863,0.437233826,1.342080658,1.007386621,0.315529739,0.732209943,no
2116,c3822,168,P0A9H2,MUG_ECOL6,reviewed,G/U mismatch-specific DNA glycosylase (EC 3.2.2.28) (Double-strand-specific uracil glycosylase) (Mismatch-specific uracil DNA-glycosylase) (MUG),mug c3822,c3822,mug,ygjF,8.315708741,9.469652706,8.34000305,6.930598899,3.509446129,9.249068833,-0.395384349,2.978103957,0.999573264,0.317413788,0.732668123,no
464,c0821,181,A0A0H2V5B1,A0A0H2V5B1_ECOL6,unreviewed,Peptidoglycan-associated lipoprotein,pal c0821,c0821,pal,pal,206.3931645,262.0996494,173.6896287,174.3623173,92.41541473,217.4017969,-0.407069662,7.554732969,0.997966252,0.317803116,0.732668123,no
2342,c4156,225,P0AG08,RPE_ECOL6,reviewed,Ribulose-phosphate 3-epimerase (EC 5.1.3.1) (Pentose-5-phosphate 3-epimerase) (PPE) (R5P3E),rpe c4156,c4156,rpe,rpe,11.04217062,10.99496589,10.87826485,8.143453706,6.726438414,11.00152398,-0.341973544,3.320763652,0.998482296,0.317678027,0.732668123,no
442,c0789,247,P0AFP7,GCH1L_ECOL6,reviewed,GTP cyclohydrolase 1 type 2 homolog,ybgI c0789,c0789,ybgI,ybgI,44.44132868,37.75150139,33.3600122,55.21377123,32.31614977,58.70724744,0.342703202,5.455757102,0.999084808,0.317532059,0.732668123,no
2343,c4157,278,A0A0H2VBS9,A0A0H2VBS9_ECOL6,unreviewed,Site-specific DNA-methyltransferase (adenine-specific) (EC 2.1.1.72),dam c4157,c4157,dam,dam,14.58657107,17.60465637,13.29565704,16.69119235,23.98121522,17.135117,0.33644112,4.118932655,0.999219559,0.317499426,0.732668123,no
933,c1711,334,A0A0H2V854,A0A0H2V854_ECOL6,unreviewed,Oligopeptide transport ATP-binding protein oppF,oppF c1711,c1711,oppF,oppF,11.99643228,10.6136376,13.05391782,7.68141378,3.509446129,14.79851013,-0.445273356,3.389621815,1.002828979,0.316626945,0.732668123,no
1312,c2358,457,A0A0H2V887,A0A0H2V887_ECOL6,unreviewed,Flagellum-specific ATP synthase (EC 3.6.3.14),fliI c2358,c2358,fliI,fliI,4.907631388,4.957267859,4.351305939,5.717744092,6.43398457,5.938875777,0.339032658,2.476091395,1.000146232,0.317275127,0.732668123,no
1200,c2212,636,A0A0H2V842,A0A0H2V842_ECOL6,unreviewed,Probable ATP-dependent helicase yoaA,c2212,c2212,,c2212,8.997324212,6.92746406,6.16435008,8.952023578,15.20759989,5.452082681,0.41385716,3.121773974,1.000741814,0.317131077,0.732668123,no
1017,c1859,667,A0A0H2V8F8,A0A0H2V8F8_ECOL6,unreviewed,Putative protease ydcP (EC 3.4.-.-),ydcP c1859,c1859,ydcP,ydcP,4.771308294,4.766603711,5.922610862,4.042849358,13.89155759,3.991703391,0.479434664,2.641269785,1.00515667,0.316065953,0.732668123,no
1552,c2823,325,Q8FFK0,NUOH_ECOL6,reviewed,NADH-quinone oxidoreductase subunit H (EC 1.6.5.11) (NADH dehydrogenase I subunit H) (NDH-1 subunit H) (NUO8),nuoH c2823,c2823,nuoH,nuoH,25.76506479,24.21434685,16.80087571,15.24731758,14.76891913,22.58719968,-0.344068507,4.328214128,0.994663611,0.318605212,0.733987332,no
2861,c5058,294,A0A0H2VD23,A0A0H2VD23_ECOL6,unreviewed,Putative transcriptional regulator,c5058,c5058,,c5058,7.497770177,6.800354628,7.493915784,9.645083468,7.16511918,10.70944812,0.346801513,3.076085049,0.99359962,0.318864184,0.734054319,no
567,c0999,107,P0A8C2,YBJQ_ECOL6,reviewed,UPF0145 protein YbjQ,ybjQ c0999,c0999,ybjQ,ybjQ,23.31124909,18.24020353,33.11827298,21.71587655,14.18401144,22.10040658,-0.35652228,4.477897642,0.987121874,0.320446832,0.734177114,no
1227,c2249,113,A0A0H2V7Y8,A0A0H2V7Y8_ECOL6,unreviewed,Uncharacterized protein,yebY c2249,c2249,yebY,yebY,17.99464842,16.5242262,13.41652665,15.94037747,5.995303804,14.31171704,-0.39005425,3.837582783,0.983590342,0.321314013,0.734177114,no
2858,c5054,154,A0A0H2VDG5,A0A0H2VDG5_ECOL6,unreviewed,Redox-sensitive transcriptional activator soxR,soxR c5054,c5054,soxR,soxR,5.316600671,4.893713143,6.647828518,5.60223411,3.216992285,3.991703391,-0.361576917,2.364981974,0.987897064,0.320256894,0.734177114,no
2831,c5009,165,Q8FB35,UBIC_ECOL6,reviewed,Chorismate pyruvate-lyase (CL) (CPL) (EC 4.1.3.40),ubiC c5009,c5009,ubiC,ubiC,5.180277577,5.211486724,5.318262814,6.98835389,5.410396116,7.399255067,0.342319451,2.61702187,0.984842949,0.321006078,0.734177114,no
2673,c4733,238,A0A0H2VCL9,A0A0H2VCL9_ECOL6,unreviewed,Uncharacterized protein,yigB c4733,c4733,yigB,yigB,11.72378609,8.389222531,8.581742269,11.14671323,4.094353817,5.938875777,-0.40979818,3.096504808,0.991588328,0.319354483,0.734177114,no
1186,c2187,248,A0A0H2V830,A0A0H2V830_ECOL6,unreviewed,MltA-interacting protein,yeaF c2187,c2187,yeaF,yeaF,13.08701704,29.42583358,12.20783055,9.876103431,17.83968449,13.92228256,-0.409651806,4.027052899,0.989065473,0.319970888,0.734177114,no
210,c0373,260,A0A0H2V4K7,A0A0H2V4K7_ECOL6,unreviewed,Uncharacterized protein,yafJ c0373,c0373,yafJ,yafJ,4.771308294,2.605743362,3.021740235,3.696319413,2.339630753,1.36302067,-0.436538233,1.649841951,0.986764748,0.320534386,0.734177114,no
898,c1665,315,P0A718,KPRS_ECOL6,reviewed,Ribose-phosphate pyrophosphokinase (RPPK) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase) (P-Rib-PP synthase) (PRPP synthase) (PRPPase),prs prsA c1665,c1665,"prs,prsA",prsA,11.17849372,10.35941873,6.16435008,7.970188734,19.30195371,9.930579168,0.409952798,3.444615725,0.984498679,0.321090673,0.734177114,no
148,c0219,382,Q8FL07,LPXB_ECOL6,reviewed,Lipid-A-disaccharide synthase (EC 2.4.1.182),lpxB c0219,c0219,lpxB,lpxB,22.35698744,17.85887524,21.99826891,21.02281666,47.66997659,14.60379289,0.416359021,4.600744654,0.982116945,0.321676725,0.734177114,no
1176,c2170,618,A0A0H2V813,A0A0H2V813_ECOL6,unreviewed,Protease 4 (EC 3.4.21.-) (Endopeptidase IV) (Protease IV) (Signal peptide peptidase),sppA c2170,c2170,sppA,sppA,15.26818654,16.90555449,13.17478743,12.70609798,12.42928837,11.00152398,-0.329646151,3.784560735,0.986801625,0.320525344,0.734177114,no
133,c0202,890,Q8CY19,GLND_ECOL6,reviewed,Bifunctional uridylyltransferase/uridylyl-removing enzyme (UTase/UR) (Bifunctional [protein-PII] modification enzyme) (Bifunctional nitrogen sensor protein) [Includes: [Protein-PII] uridylyltransferase (PII uridylyltransferase) (UTase) (EC 2.7.7.59); [Protein-PII]-UMP uridylyl-removing enzyme (UR) (EC 3.1.4.-)],glnD c0202,c0202,glnD,glnD,17.17670986,11.31273947,9.065220706,12.87936295,5.995303804,9.443786072,-0.388411264,3.484855452,0.988399793,0.320133794,0.734177114,no
1553,c2824,908,Q8FFJ9,NUOG_ECOL6,reviewed,NADH-quinone oxidoreductase subunit G (EC 1.6.5.11) (NADH dehydrogenase I subunit G) (NDH-1 subunit G) (NUO7),nuoG c2824,c2824,nuoG,nuoG,95.28984279,93.17121387,68.89567737,61.33580025,53.37282655,87.81747461,-0.345288883,6.264016292,0.982293837,0.32163315,0.734177114,no
2566,c4540,179,A0A0H2VC93,A0A0H2VC93_ECOL6,unreviewed,Putative maturase-related protein,c4540,c4540,,c4540,1.772200224,1.65242262,1.813044141,1.443874771,4.094353817,1.947172386,0.451147316,1.145859681,0.973426152,0.32382719,0.734191594,no
843,c1545,185,A0A0H2V7R0,A0A0H2V7R0_ECOL6,unreviewed,Uncharacterized protein,c1545,c1545,,c1545,52.07542195,63.80893501,67.68698127,74.04189824,97.53335701,60.36234396,0.335815084,6.116928152,0.973979024,0.323689823,0.734191594,no
1175,c2168,189,A0A0H2V951,A0A0H2V951_ECOL6,unreviewed,Protein ydjA,ydjA c2168,c2168,ydjA,ydjA,24.81080313,25.16766759,25.98696603,26.50954079,13.16042298,19.86115834,-0.343414878,4.513295236,0.97082049,0.324475636,0.734191594,no
2410,c4261,208,P0ADJ0,YHHN_ECOL6,reviewed,Uncharacterized membrane protein YhhN,yhhN c4261,c4261,yhhN,yhhN,6.27086233,3.686173536,5.439132424,3.927339376,3.216992285,4.575855107,-0.362743273,2.220083913,0.974408667,0.323583126,0.734191594,no
2986,c5305,224,A0A0H2VDN3,A0A0H2VDN3_ECOL6,unreviewed,Uncharacterized protein,ytfB c5305,c5305,ytfB,ytfB,47.30411366,48.68291257,62.00610963,44.41358794,38.31145358,44.68760626,-0.308864634,5.577489379,0.973982603,0.323688934,0.734191594,no
1399,c2551,245,Q8FG49,HIS4_ECOL6,reviewed,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase (EC 5.3.1.16) (Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase),hisA c2551,c2551,hisA,hisA,2.453815694,2.351524497,2.900870626,1.674894734,0.877361532,3.018117198,-0.429539571,1.264895235,0.974460625,0.323570226,0.734191594,no
